# Region      : cellZone box
# Cells       : 2720208
# Volume      : 5.251462e-06
# Time        	volAverage(vorticity)
504           	9.685418e-01
505           	1.052373e+00
506           	1.125096e+00
507           	1.202148e+00
508           	1.275613e+00
509           	1.311928e+00
510           	1.284658e+00
511           	1.160207e+00
512           	9.463723e-01
513           	6.548005e-01
514           	3.234744e-01
515           	2.017902e-02
516           	2.865626e-01
517           	5.343696e-01
518           	7.267227e-01
519           	8.713024e-01
520           	9.871538e-01
521           	1.078262e+00
522           	1.126145e+00
523           	1.084252e+00
524           	9.498994e-01
525           	7.519609e-01
526           	5.383029e-01
527           	3.249830e-01
528           	9.125875e-02
529           	2.653106e-01
530           	5.661413e-01
531           	8.245743e-01
532           	1.027638e+00
533           	1.204884e+00
534           	1.367615e+00
535           	1.502343e+00
536           	1.572941e+00
537           	1.561172e+00
538           	1.467525e+00
539           	1.300633e+00
540           	1.067725e+00
541           	7.912208e-01
542           	5.030403e-01
543           	2.682149e-01
544           	2.653369e-01
545           	4.583495e-01
546           	6.851960e-01
547           	8.849980e-01
548           	1.028713e+00
549           	1.124805e+00
550           	1.189938e+00
551           	1.226446e+00
552           	1.202265e+00
553           	1.122063e+00
554           	1.023720e+00
555           	9.470762e-01
556           	9.424210e-01
557           	1.019692e+00
558           	1.140078e+00
559           	1.261954e+00
560           	1.358464e+00
561           	1.430414e+00
562           	1.503402e+00
563           	1.570608e+00
564           	1.586606e+00
565           	1.503775e+00
566           	1.286867e+00
567           	9.214535e-01
568           	4.794039e-01
569           	3.645764e-01
570           	7.689897e-01
571           	1.167053e+00
572           	1.470372e+00
573           	1.669149e+00
574           	1.803254e+00
575           	1.877894e+00
576           	1.897958e+00
577           	1.855778e+00
578           	1.716687e+00
579           	1.449523e+00
580           	1.059249e+00
581           	5.870696e-01
582           	1.583969e-01
583           	4.632541e-01
584           	8.968902e-01
585           	1.305144e+00
586           	1.683842e+00
587           	2.011128e+00
588           	2.241233e+00
589           	2.348014e+00
590           	2.334927e+00
591           	2.212297e+00
592           	1.986718e+00
593           	1.650265e+00
594           	1.213207e+00
595           	7.092846e-01
596           	4.071683e-01
597           	7.844116e-01
598           	1.325858e+00
599           	1.807390e+00
600           	2.189753e+00
601           	2.450594e+00
602           	2.578640e+00
603           	2.584783e+00
604           	2.460404e+00
605           	2.204695e+00
606           	1.803372e+00
607           	1.269010e+00
608           	6.708483e-01
609           	4.240647e-01
610           	1.006670e+00
611           	1.686496e+00
612           	2.295960e+00
613           	2.774824e+00
614           	3.057396e+00
615           	3.150073e+00
616           	3.053651e+00
617           	2.774872e+00
618           	2.306015e+00
619           	1.644026e+00
620           	8.265860e-01
621           	1.965304e-01
622           	1.054875e+00
623           	1.872949e+00
624           	2.560637e+00
625           	3.094092e+00
626           	3.456634e+00
627           	3.648167e+00
628           	3.641407e+00
629           	3.431794e+00
630           	3.012340e+00
631           	2.388333e+00
632           	1.595014e+00
633           	7.113579e-01
634           	3.817659e-01
635           	1.207791e+00
636           	2.001284e+00
637           	2.647031e+00
638           	3.090307e+00
639           	3.314130e+00
640           	3.345604e+00
641           	3.237010e+00
642           	3.003309e+00
643           	2.650440e+00
644           	2.157505e+00
645           	1.507537e+00
646           	7.157645e-01
647           	1.885607e-01
648           	1.090161e+00
649           	1.957437e+00
650           	2.727122e+00
651           	3.341149e+00
652           	3.756214e+00
653           	3.926490e+00
654           	3.860312e+00
655           	3.577514e+00
656           	3.078635e+00
657           	2.373220e+00
658           	1.530183e+00
659           	6.494509e-01
660           	5.361628e-01
661           	1.395188e+00
662           	2.207922e+00
663           	2.861795e+00
664           	3.315236e+00
665           	3.540460e+00
666           	3.568950e+00
667           	3.396238e+00
668           	3.034018e+00
669           	2.510705e+00
670           	1.857494e+00
671           	1.098304e+00
672           	2.416809e-01
673           	6.902519e-01
674           	1.622588e+00
675           	2.491640e+00
676           	3.226387e+00
677           	3.787462e+00
678           	4.133215e+00
679           	4.227944e+00
680           	4.069489e+00
681           	3.686702e+00
682           	3.087929e+00
683           	2.294002e+00
684           	1.354397e+00
685           	3.935085e-01
686           	8.187282e-01
687           	1.777580e+00
688           	2.600636e+00
689           	3.227160e+00
690           	3.623830e+00
691           	3.797348e+00
692           	3.748211e+00
693           	3.499443e+00
694           	3.072335e+00
695           	2.494818e+00
696           	1.815015e+00
697           	1.112456e+00
698           	6.109536e-01
699           	8.935065e-01
700           	1.560398e+00
701           	2.244634e+00
702           	2.824261e+00
703           	3.239970e+00
704           	3.442387e+00
705           	3.429131e+00
706           	3.206010e+00
707           	2.802987e+00
708           	2.237812e+00
709           	1.551667e+00
710           	7.922100e-01
711           	4.902054e-02
712           	7.566980e-01
713           	1.408251e+00
714           	1.899909e+00
715           	2.210884e+00
716           	2.360528e+00
717           	2.377144e+00
718           	2.281034e+00
719           	2.082388e+00
720           	1.785936e+00
721           	1.411699e+00
722           	9.932623e-01
723           	5.579724e-01
724           	1.177327e-01
725           	3.223948e-01
726           	7.710530e-01
727           	1.200769e+00
728           	1.558496e+00
729           	1.817035e+00
730           	1.956071e+00
731           	1.974534e+00
732           	1.895153e+00
