# Region      : cellZone box
# Cells       : 2720208
# Volume      : 5.251462e-06
# Time        	volAverage(U)
382           	1.628485e+00
383           	1.628419e+00
384           	1.628414e+00
385           	1.628433e+00
386           	1.628477e+00
387           	1.628542e+00
388           	1.628603e+00
389           	1.628639e+00
390           	1.628667e+00
391           	1.628670e+00
392           	1.628670e+00
393           	1.628678e+00
394           	1.628715e+00
395           	1.628789e+00
396           	1.628880e+00
397           	1.628926e+00
398           	1.628921e+00
399           	1.628909e+00
400           	1.628923e+00
401           	1.628919e+00
402           	1.628865e+00
403           	1.628776e+00
404           	1.628668e+00
405           	1.628586e+00
406           	1.628494e+00
407           	1.628387e+00
408           	1.628257e+00
409           	1.628144e+00
410           	1.628136e+00
411           	1.628237e+00
412           	1.628477e+00
413           	1.628741e+00
414           	1.628946e+00
415           	1.629060e+00
416           	1.629095e+00
417           	1.629080e+00
418           	1.629024e+00
419           	1.628923e+00
420           	1.628816e+00
421           	1.628736e+00
422           	1.628687e+00
423           	1.628642e+00
424           	1.628606e+00
425           	1.628561e+00
426           	1.628550e+00
427           	1.628572e+00
428           	1.628642e+00
429           	1.628721e+00
430           	1.628831e+00
431           	1.628942e+00
432           	1.629012e+00
433           	1.628995e+00
434           	1.628888e+00
435           	1.628724e+00
436           	1.628583e+00
437           	1.628511e+00
438           	1.628508e+00
439           	1.628554e+00
440           	1.628639e+00
441           	1.628759e+00
442           	1.628883e+00
443           	1.628946e+00
444           	1.628970e+00
445           	1.629027e+00
446           	1.629107e+00
447           	1.629176e+00
448           	1.629201e+00
449           	1.629200e+00
450           	1.629130e+00
451           	1.629018e+00
452           	1.628893e+00
453           	1.628751e+00
454           	1.628573e+00
455           	1.628441e+00
456           	1.628392e+00
457           	1.628424e+00
458           	1.628492e+00
459           	1.628556e+00
460           	1.628617e+00
461           	1.628684e+00
462           	1.628738e+00
463           	1.628790e+00
464           	1.628835e+00
465           	1.628835e+00
466           	1.628783e+00
467           	1.628750e+00
468           	1.628757e+00
469           	1.628801e+00
470           	1.628888e+00
471           	1.628990e+00
472           	1.629040e+00
473           	1.628999e+00
474           	1.628865e+00
475           	1.628685e+00
476           	1.628504e+00
477           	1.628364e+00
478           	1.628293e+00
479           	1.628309e+00
480           	1.628423e+00
481           	1.628609e+00
482           	1.628795e+00
483           	1.628939e+00
484           	1.629018e+00
485           	1.629027e+00
486           	1.628957e+00
487           	1.628838e+00
488           	1.628733e+00
489           	1.628669e+00
490           	1.628645e+00
491           	1.628658e+00
492           	1.628725e+00
493           	1.628813e+00
494           	1.628861e+00
495           	1.628845e+00
496           	1.628727e+00
497           	1.628569e+00
498           	1.628444e+00
499           	1.628395e+00
500           	1.628443e+00
501           	1.628560e+00
502           	1.628704e+00
503           	1.628867e+00
504           	1.628993e+00
505           	1.629055e+00
506           	1.629040e+00
507           	1.629003e+00
508           	1.628942e+00
509           	1.628829e+00
510           	1.628714e+00
511           	1.628614e+00
512           	1.628563e+00
513           	1.628544e+00
514           	1.628531e+00
515           	1.628515e+00
516           	1.628511e+00
517           	1.628544e+00
518           	1.628632e+00
519           	1.628726e+00
520           	1.628825e+00
521           	1.628892e+00
522           	1.628890e+00
523           	1.628810e+00
524           	1.628689e+00
525           	1.628588e+00
526           	1.628510e+00
527           	1.628452e+00
528           	1.628433e+00
529           	1.628490e+00
530           	1.628641e+00
531           	1.628828e+00
532           	1.628988e+00
533           	1.629078e+00
534           	1.629119e+00
535           	1.629184e+00
536           	1.629236e+00
537           	1.629166e+00
538           	1.628956e+00
539           	1.628668e+00
540           	1.628372e+00
541           	1.628136e+00
542           	1.628037e+00
543           	1.628077e+00
544           	1.628268e+00
545           	1.628555e+00
546           	1.628891e+00
547           	1.629169e+00
548           	1.629353e+00
549           	1.629432e+00
550           	1.629403e+00
551           	1.629259e+00
552           	1.629050e+00
553           	1.628803e+00
554           	1.628526e+00
555           	1.628284e+00
556           	1.628137e+00
557           	1.628079e+00
558           	1.628118e+00
559           	1.628246e+00
560           	1.628447e+00
561           	1.628690e+00
562           	1.628898e+00
563           	1.629013e+00
564           	1.629039e+00
565           	1.628968e+00
566           	1.628838e+00
567           	1.628674e+00
568           	1.628514e+00
569           	1.628425e+00
570           	1.628430e+00
571           	1.628513e+00
