# Region      : cellZone box
# Cells       : 2628800
# Volume      : 5.249270e-06
# Time        	volAverage(U)
750           	1.628385e+00
751           	1.628349e+00
752           	1.628321e+00
753           	1.628285e+00
754           	1.628249e+00
755           	1.628232e+00
756           	1.628249e+00
757           	1.628289e+00
758           	1.628336e+00
759           	1.628404e+00
760           	1.628476e+00
761           	1.628511e+00
762           	1.628494e+00
763           	1.628442e+00
764           	1.628381e+00
765           	1.628340e+00
766           	1.628315e+00
767           	1.628321e+00
768           	1.628353e+00
769           	1.628398e+00
770           	1.628444e+00
771           	1.628476e+00
772           	1.628493e+00
773           	1.628498e+00
774           	1.628496e+00
775           	1.628460e+00
776           	1.628390e+00
777           	1.628307e+00
778           	1.628215e+00
779           	1.628131e+00
780           	1.628088e+00
781           	1.628109e+00
782           	1.628163e+00
783           	1.628218e+00
784           	1.628269e+00
785           	1.628302e+00
786           	1.628297e+00
787           	1.628242e+00
788           	1.628173e+00
789           	1.628131e+00
790           	1.628151e+00
791           	1.628248e+00
792           	1.628392e+00
793           	1.628504e+00
794           	1.628560e+00
795           	1.628573e+00
796           	1.628537e+00
797           	1.628500e+00
798           	1.628475e+00
799           	1.628439e+00
800           	1.628374e+00
