# Region      : cellZone box
# Cells       : 2628800
# Volume      : 5.249270e-06
# Time        	volAverage(vorticity)
464           	7.241056e-02
465           	4.564718e-01
466           	8.245571e-01
467           	1.130482e+00
468           	1.340292e+00
469           	1.435218e+00
470           	1.406640e+00
471           	1.255026e+00
472           	9.976068e-01
473           	6.683211e-01
474           	3.173208e-01
475           	1.611595e-01
476           	4.275744e-01
477           	6.736428e-01
478           	8.291968e-01
479           	8.725721e-01
480           	8.025705e-01
481           	6.374062e-01
482           	4.142993e-01
483           	1.933292e-01
484           	1.885126e-01
485           	3.550611e-01
486           	4.780604e-01
487           	5.191549e-01
488           	4.689166e-01
489           	3.336009e-01
490           	1.321578e-01
491           	1.350697e-01
492           	3.849811e-01
493           	6.241560e-01
494           	8.227646e-01
495           	9.558775e-01
496           	1.007681e+00
497           	9.776546e-01
498           	8.773198e-01
499           	7.166845e-01
500           	5.088246e-01
501           	2.715464e-01
502           	4.160615e-02
503           	2.184176e-01
504           	4.180929e-01
505           	5.635348e-01
506           	6.412697e-01
507           	6.502275e-01
508           	5.990840e-01
509           	4.935535e-01
510           	3.447199e-01
511           	1.743001e-01
512           	1.088686e-01
513           	2.812136e-01
514           	4.670513e-01
515           	6.122638e-01
516           	6.993568e-01
517           	7.297038e-01
518           	7.102919e-01
519           	6.410118e-01
520           	5.310590e-01
521           	3.971499e-01
522           	2.626201e-01
523           	1.507156e-01
524           	7.705232e-02
525           	6.423139e-02
526           	1.197782e-01
527           	2.030564e-01
528           	2.971100e-01
529           	3.948217e-01
530           	4.867740e-01
531           	5.547999e-01
532           	5.855161e-01
533           	5.802446e-01
534           	5.430822e-01
535           	4.768072e-01
536           	3.872578e-01
537           	2.896527e-01
538           	2.304876e-01
539           	2.508205e-01
540           	3.191688e-01
541           	3.919743e-01
542           	4.562645e-01
543           	5.024348e-01
544           	5.165133e-01
545           	4.852472e-01
546           	4.000296e-01
547           	2.618894e-01
548           	9.707695e-02
549           	1.372428e-01
550           	3.184482e-01
551           	4.917334e-01
552           	6.497401e-01
553           	7.736280e-01
554           	8.411317e-01
555           	8.382453e-01
556           	7.626906e-01
557           	6.221506e-01
558           	4.314730e-01
559           	2.182097e-01
560           	8.503490e-02
561           	2.666731e-01
562           	4.920326e-01
563           	7.103693e-01
564           	8.956368e-01
565           	1.026960e+00
566           	1.085689e+00
567           	1.059252e+00
568           	9.512477e-01
569           	7.850024e-01
570           	5.987518e-01
571           	4.261557e-01
572           	2.938142e-01
573           	2.238853e-01
574           	2.176849e-01
575           	2.418547e-01
576           	2.665644e-01
577           	2.763766e-01
578           	2.571780e-01
579           	2.001752e-01
580           	1.045558e-01
581           	3.120517e-02
582           	1.470206e-01
583           	2.604595e-01
584           	3.540496e-01
585           	4.185752e-01
586           	4.513660e-01
587           	4.436485e-01
588           	3.875462e-01
589           	2.842864e-01
590           	1.463933e-01
591           	1.081947e-01
592           	2.780110e-01
593           	4.740362e-01
594           	6.504074e-01
595           	7.824347e-01
596           	8.533684e-01
597           	8.560283e-01
598           	7.920526e-01
599           	6.709317e-01
600           	5.106433e-01
601           	3.607057e-01
602           	3.237172e-01
603           	4.439125e-01
604           	6.019351e-01
605           	7.298718e-01
606           	8.076429e-01
607           	8.279407e-01
608           	7.849660e-01
609           	6.768723e-01
610           	5.081284e-01
611           	2.956366e-01
612           	1.135551e-01
613           	2.937532e-01
614           	5.715253e-01
615           	8.507732e-01
616           	1.111429e+00
617           	1.327442e+00
618           	1.469641e+00
619           	1.520396e+00
620           	1.472698e+00
621           	1.339499e+00
622           	1.142655e+00
623           	8.993864e-01
624           	6.323862e-01
625           	3.704403e-01
626           	2.074665e-01
627           	3.127147e-01
628           	4.951492e-01
629           	6.377661e-01
630           	7.150079e-01
631           	7.161035e-01
632           	6.426257e-01
633           	5.076710e-01
634           	3.460674e-01
635           	2.277758e-01
636           	2.532010e-01
637           	3.691377e-01
638           	4.825227e-01
639           	5.514002e-01
640           	5.609366e-01
641           	5.148352e-01
642           	4.278337e-01
643           	3.260070e-01
644           	2.470618e-01
645           	2.229378e-01
646           	2.280665e-01
647           	2.146266e-01
648           	1.664738e-01
649           	1.008121e-01
650           	1.082991e-01
651           	2.326608e-01
652           	3.984061e-01
653           	5.783058e-01
654           	7.476779e-01
655           	8.763982e-01
656           	9.364710e-01
657           	9.093531e-01
658           	7.926882e-01
659           	6.001715e-01
660           	3.647133e-01
661           	2.038012e-01
662           	3.418559e-01
663           	5.719872e-01
664           	7.892397e-01
665           	9.670247e-01
666           	1.081564e+00
667           	1.117416e+00
668           	1.069117e+00
669           	9.392911e-01
670           	7.336686e-01
671           	4.650110e-01
