# Region      : cellZone box
# Cells       : 2628800
# Volume      : 5.249270e-06
# Time        	volAverage(k)
375           	1.878996e-03
376           	1.880131e-03
377           	1.881593e-03
378           	1.883181e-03
379           	1.884946e-03
380           	1.886883e-03
381           	1.888504e-03
382           	1.889445e-03
383           	1.889525e-03
384           	1.888723e-03
385           	1.887104e-03
386           	1.884953e-03
387           	1.882857e-03
388           	1.879873e-03
389           	1.876845e-03
390           	1.873744e-03
391           	1.870672e-03
392           	1.868517e-03
393           	1.867741e-03
394           	1.868203e-03
395           	1.869782e-03
396           	1.871649e-03
397           	1.874328e-03
398           	1.876932e-03
399           	1.878641e-03
400           	1.879112e-03
401           	1.878432e-03
402           	1.877424e-03
403           	1.876356e-03
404           	1.874912e-03
405           	1.873541e-03
406           	1.871690e-03
407           	1.869292e-03
408           	1.865725e-03
409           	1.862265e-03
410           	1.859762e-03
411           	1.858510e-03
412           	1.857979e-03
413           	1.859493e-03
414           	1.862281e-03
415           	1.866199e-03
416           	1.870092e-03
417           	1.873386e-03
418           	1.875497e-03
419           	1.876442e-03
420           	1.876655e-03
421           	1.875845e-03
422           	1.874530e-03
423           	1.872682e-03
424           	1.870652e-03
425           	1.868458e-03
426           	1.866509e-03
427           	1.864905e-03
428           	1.863643e-03
429           	1.863383e-03
430           	1.864076e-03
431           	1.865366e-03
432           	1.867772e-03
433           	1.871283e-03
434           	1.875529e-03
435           	1.879416e-03
436           	1.882260e-03
437           	1.884572e-03
438           	1.885558e-03
439           	1.885400e-03
440           	1.885069e-03
441           	1.884408e-03
442           	1.884498e-03
443           	1.885076e-03
444           	1.886083e-03
445           	1.887731e-03
446           	1.889609e-03
447           	1.891316e-03
448           	1.893653e-03
449           	1.896679e-03
450           	1.900183e-03
451           	1.903822e-03
452           	1.907601e-03
453           	1.910653e-03
454           	1.912862e-03
455           	1.913561e-03
456           	1.913437e-03
457           	1.912909e-03
458           	1.912670e-03
459           	1.913197e-03
460           	1.914048e-03
461           	1.916102e-03
462           	1.919015e-03
